GEOID20,District
130730303083000,12
130730303083001,12
130730303083002,12
130730303083003,12
130730303112000,12
130730303112001,12
130730303112003,12
130730303112004,12
130730303112005,12
130730303112006,12
130730303112007,12
130730303112008,12
130730303112009,12
130730303112010,12
130730303112011,12
130730303113000,12
130730303113001,12
130730303113003,12
130730303113004,12
130730303082000,12
130730303082001,12
130730303082002,12
130730303082003,12
130730303082004,12
130730303082005,12
130730303082006,12
130730303082007,12
130730303082008,12
130730303082009,12
130730303084003,12
130730303084005,12
130730303084006,12
130730303084007,12
130730303084008,12
130730303084009,12
130730303084010,12
130730303084011,12
130730303085000,12
130730303085001,12
130730303085002,12
130730303085003,12
130730303085004,12
130730303085005,12
130730303085006,12
130730303085007,12
130730303081000,12
130730303081001,12
130730303081002,12
130730303081003,12
130730303081004,12
130730303081005,12
130730303081006,12
130730303081007,12
130730303081008,12
130730303081009,12
130730303081010,12
130730303081011,12
130730303081012,12
130730303081013,12
130730303081014,12
130730303081015,12
130730303081016,12
130730303081017,12
130730303081018,12
130730303081019,12
130730303081020,12
130730303081021,12
130730303081022,12
130730303081023,12
130730303081024,12
130730303081025,12
130730303081026,12
130730303081027,12
130730303081028,12
130730303081029,12
130730303081030,12
130730303081031,12
130730303081032,12
130730303081033,12
130730303081034,12
130730303081035,12
130730303081036,12
130730303081037,12
130730303081038,12
130730303081039,12
130730303081040,12
130730303081041,12
130730303081042,12
130730303081043,12
130730303081044,12
130730303081045,12
130730303081046,12
130730303081047,12
130730303081048,12
130730303081049,12
130730303081050,12
130730303081051,12
130730303081052,12
130730303081053,12
130730303081054,12
130730303085008,12
130730303085009,12
130730303112002,12
130730303083004,12
130730303083005,12
130730303083006,12
130730303083007,12
130730303084000,12
130730303084001,12
130730303084002,12
130730303084004,12
130730301031000,12
130730301031001,12
130730301031002,12
130730301031003,12
130730301031004,12
130730303101007,12
130730303101008,12
130730303101009,12
130730303101010,12
130730303113002,12
130730303113005,12
130730303113006,12
130730303113007,12
130730303113008,12
130730303113009,12
130730303114000,12
130730303114001,12
130730303114002,12
130730303111000,12
130730303111001,12
130730303111002,12
130730303111003,12
130730303111004,12
130730303111005,12
130730303111006,12
130730303111007,12
130730303111008,12
130730303111009,12
130730303111010,12
130730303111011,12
130730303111012,12
130730303111013,12
130730303111014,12
130730303111015,12
130730303111016,12
